epoch,train_mae,val_mae
1,9.959447582734784,6.149847234998431
2,3.0926899885890458,2.2918130329677036
3,2.351843044355318,2.1730944088527133
4,2.182756464202683,2.0584076132093156
5,2.039243721170687,1.6950988599232264
6,1.7326767616629772,1.6335893188204085
7,1.7520895078240708,1.5960378817149572
8,1.706809245834791,1.6589031219482422
9,1.6931207814773956,1.5705607618604387
10,1.7273504684153744,1.6865307433264596
11,1.6962159326754263,1.5497152635029383
12,1.6963343964338646,1.5513923508780343
13,1.6416820686788958,1.5476706198283605
14,1.6102616047274327,1.5232693978718348
15,1.6092332106132012,1.4002008267811366
16,1.623520464952202,1.5142603431429182
17,1.5895125699077677,1.4830936874662126
18,1.538726895230501,1.4339805330548967
19,1.622749856540135,1.4789075681141444
20,1.5798009018189292,1.59536840234484
21,1.6755479386702588,1.4997472763061523
22,1.5051555335951745,1.3773751599448067
23,1.5233481061062943,1.3269304037094116
24,1.4165670990427852,1.3021546942847115
25,1.4029151295858717,1.4800463233675276
26,1.4519576909394147,1.1763418061392648
27,1.3984313394772199,1.1651969466890608
28,1.4651486565712382,1.3136828626905168
29,1.4418670948793706,1.1882924352373396
30,1.3617304274530122,1.1471563747950964
